variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
TTWHYSP_d_W144,float64,10454,282,10172,97.3,4,,,,,,,,,,,,,,,,
TTWHYNTSP_a_W144,float64,10454,565,9889,94.6,3,,,,,,,,,,,,,,,,
TTWHYNTSP_b_W144,float64,10454,565,9889,94.6,4,,,,,,,,,,,,,,,,
TTWHYNTSP_c_W144,float64,10454,565,9889,94.6,4,,,,,,,,,,,,,,,,
TTWHYNTSP_d_W144,float64,10454,565,9889,94.6,3,,,,,,,,,,,,,,,,
TTSEEPOL_W144,float64,10454,2562,7892,75.49,6,,,,,,,,,,,,,,,,
TTPOLIDEO_W144,float64,10454,1967,8487,81.18,5,,,,,,,,,,,,,,,,
TTFREEEXP_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
F_METRO,float64,10454,10432,22,0.21,2,PROFILE,,,Banner candidate,All respondents,,No,,EXCLUDE,Useful secondary geography variable but outside primary banner specification,,,,,,
F_CREGION,float64,10454,10451,3,0.03,4,PROFILE,All,Census region,Banner,All respondents,No,Yes,Geographic banner with large and well-distributed bases,INCLUDE,,,,,,,
F_CDIVISION,float64,10454,10451,3,0.03,9,,,,,,,,,,,,,,,,
F_USR_SELFID,int64,10454,10454,0,0.0,4,,,,,,,,,,,,,,,,
F_AGECAT,int64,10454,10454,0,0.0,5,PROFILE,All,Age group,Banner,All respondents,No,Yes,Core demographic banner with adequate substantive base sizes,INCLUDE,,,,,,,
F_GENDER,int64,10454,10454,0,0.0,4,PROFILE,All,Gender,Banner,All respondents,No,Yes,Core demographic banner for subgroup comparison,INCLUDE,,,,,,,
F_EDUCCAT,int64,10454,10454,0,0.0,4,PROFILE,All,Education,Banner,All respondents,No,Yes,Aggregated education measure preferred for stable cross-tab bases,INCLUDE,,,,,,,
F_EDUCCAT2,int64,10454,10454,0,0.0,7,PROFILE,,,Banner candidate,All respondents,,No,,EXCLUDE,More detailed version of education; F_EDUCCAT selected for primary banner,,,,,,
F_HISP,int64,10454,10454,0,0.0,3,,,,,,,,,,,,,,,,
F_HISP_ORIGIN,float64,10454,1341,9113,87.17,10,,,,,,,,,,,,,,,,
F_YEARSINUS_RECODE,int64,10454,10454,0,0.0,5,,,,,,,,,,,,,,,,
F_RACECMB,int64,10454,10454,0,0.0,6,,,,,,,,,,,,,,,,
F_RACETHNMOD,int64,10454,10454,0,0.0,6,,,,,,,,,,,,,,,,
F_BIRTHPLACE,int64,10454,10454,0,0.0,5,,,,,,,,,,,,,,,,
F_MARITAL,int64,10454,10454,0,0.0,7,,,,,,,,,,,,,,,,
F_RELIG,int64,10454,10454,0,0.0,13,,,,,,,,,,,,,,,,
F_BORN,float64,10454,6666,3788,36.23,3,,,,,,,,,,,,,,,,
F_RELIGCAT1,int64,10454,10454,0,0.0,5,,,,,,,,,,,,,,,,
F_ATTENDPER,int64,10454,10454,0,0.0,7,,,,,,,,,,,,,,,,
F_PARTY_FINAL,int64,10454,10454,0,0.0,5,,,,,,,,,,,,,,,,
