table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T17,X,Income,Lower income,525,235.34676063680897,2.23075090806195
T17,X,Income,Middle income,1218,487.9755670943563,2.4960266089807814
T17,X,Income,Upper income,718,373.6549438371516,1.9215589458731281
T18,X,Total,Total,2551,1046.3514645382002,2.437995345212104
T18,X,Age,18-29,316,175.22627269505824,1.8033825358479583
T18,X,Age,30-49,1028,445.5961114272048,2.3070219277888384
T18,X,Age,50-64,755,437.0960998584079,1.7273089378847655
T18,X,Age,65+,447,253.71876889426565,1.7617931931014612
T18,X,Gender,A man,1409,544.2749607845966,2.5887650572219303
T18,X,Gender,A woman,1111,526.1185065806329,2.111691541171301
T18,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T18,X,Education,College graduate+,1463,727.8508949604558,2.010027067534876
T18,X,Education,Some College,732,314.2584287953236,2.329293132426215
T18,X,Education,H.S. graduate or less,351,179.45072040712677,1.9559687428597266
T18,X,Region,Northeast,422,206.30845990675277,2.045480830939921
T18,X,Region,Midwest,498,187.61613450977347,2.654355934265652
T18,X,Region,South,1091,423.7709584562857,2.574503934800767
T18,X,Region,West,539,231.64027972312792,2.326883738200667
T18,X,Income,Lower income,526,235.75415133243376,2.2311378061728995
T18,X,Income,Middle income,1215,486.7954050916917,2.495915095523848
T18,X,Income,Upper income,718,372.77006202393886,1.926120343735895
T19,X,Total,Total,2557,1050.6871208147934,2.4336455157241117
T19,X,Age,18-29,315,174.98755120393133,1.8001280538688005
T19,X,Age,30-49,1030,448.7856520397319,2.295082285537979
T19,X,Age,50-64,756,438.47397613146416,1.7241616176859138
T19,X,Age,65+,451,256.28544699773965,1.7597565733179443
T19,X,Gender,A man,1412,545.4765434842265,2.5885622706722873
T19,X,Gender,A woman,1115,532.0922145370041,2.0955014366639597
T19,X,Gender,In some other way,28,15.320572632156248,1.8276079277370474
T19,X,Education,College graduate+,1463,728.1789761379105,2.009121449453824
T19,X,Education,Some College,739,317.497393782412,2.3275781611815467
T19,X,Education,H.S. graduate or less,350,178.0279740479984,1.9659831656885334
T19,X,Region,Northeast,420,208.39427481132446,2.0154104539592494
T19,X,Region,Midwest,502,189.87384910825543,2.6438606598941794
T19,X,Region,South,1093,423.7680250620365,2.579241319209945
T19,X,Region,West,541,232.97847518766997,2.3221029305999665
T19,X,Income,Lower income,525,235.34676063680897,2.23075090806195
T19,X,Income,Middle income,1221,489.92802118386066,2.492202828181942
T19,X,Income,Upper income,719,374.06736425907894,1.9221136851222893
T20,X,Total,Total,2557,1050.0642669154824,2.4350890517502086
T20,X,Age,18-29,315,174.98755120393133,1.8001280538688005
T20,X,Age,30-49,1031,447.120705076444,2.3058650344177876
T20,X,Age,50-64,757,439.58071401604883,1.722095569398348
T20,X,Age,65+,449,255.38474365957651,1.7581316470435262
T20,X,Gender,A man,1412,546.2179289853193,2.5850487965911317
T20,X,Gender,A woman,1114,528.0636748598121,2.1095940755548837
T20,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T20,X,Education,College graduate+,1464,729.315471367145,2.0073617761812255
T20,X,Education,Some College,736,316.55826974688733,2.325006390098381
T20,X,Education,H.S. graduate or less,352,179.84735971648013,1.9572152771934457
T20,X,Region,Northeast,422,206.62692044345147,2.04232826533119
T20,X,Region,Midwest,502,189.99302018425317,2.642202326765298
T20,X,Region,South,1091,423.22504679929716,2.5778247489151482
T20,X,Region,West,541,233.1329103237913,2.3205646909680033
T20,X,Income,Lower income,526,235.75415133243376,2.2311378061728995
T20,X,Income,Middle income,1219,488.9863708943906,2.4929120166894694
T20,X,Income,Upper income,720,374.74156525142337,1.9213240984274969
T21,X,Total,Total,2557,1047.5411572714556,2.440954211918749
T21,X,Age,18-29,315,175.04506217706424,1.79953662264044
T21,X,Age,30-49,1031,445.97584692043006,2.3117843872472057
T21,X,Age,50-64,755,437.3625662488913,1.7262565620907522
T21,X,Age,65+,451,256.28544699773965,1.7597565733179443
T21,X,Gender,A man,1411,544.5196766172877,2.5912745867431943
T21,X,Gender,A woman,1115,527.5285718778542,2.11362959172223
T21,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T21,X,Education,College graduate+,1465,729.1455615704068,2.009201011722182
T21,X,Education,Some College,738,316.99175183509055,2.3281362865994435
T21,X,Education,H.S. graduate or less,349,177.80885554028956,1.962781881360911
T21,X,Region,Northeast,422,206.04584532929388,2.048087887069876
T21,X,Region,Midwest,503,190.5019300430336,2.6403931964698435
T21,X,Region,South,1091,422.19601053414516,2.584107790643761
T21,X,Region,West,540,231.73268852024736,2.330271156168018
T21,X,Income,Lower income,526,235.7874089114339,2.2308231064092796
T21,X,Income,Middle income,1220,488.5902579824439,2.4969797904645024
T21,X,Income,Upper income,719,373.3071732971131,1.9260278168503124
T22,TikTok,Total,Total,2553,1077.2033595014852,2.3700260284942787
T22,TikTok,Age,18-29,419,243.2371617889909,1.7225986231638568
T22,TikTok,Age,30-49,1190,477.8312351205095,2.4904190277554394
T22,TikTok,Age,50-64,670,382.6713961488884,1.7508494409112272
T22,TikTok,Age,65+,266,143.42002300386778,1.8546922140210955
T22,TikTok,Gender,A man,786,317.3387659801535,2.4768483534380317
T22,TikTok,Gender,A woman,1731,766.05294255295,2.2596349466804018
T22,TikTok,Gender,In some other way,32,17.21921311268522,1.8583892185192785
